date,pos_tencent,neg_tencent,net_tencent,pos_alibaba,neg_alibaba,net_alibaba,pos_xiaomi,neg_xiaomi,net_xiaomi
2024-11-29,NaN,NaN,NaN,0.9693,0.3907,0.7763,0.6107,0.7572,-0.2986
2024-12-01,0.6263,0.5561,0.0911,NaN,NaN,NaN,NaN,NaN,NaN
2024-12-02,0.7195,0.6306,0.0225,NaN,NaN,NaN,NaN,NaN,NaN
2024-12-06,0.789,0.4729,0.2663,0.9447,0.293,0.7999,NaN,NaN,NaN
2024-12-07,NaN,NaN,NaN,0.7085,0.4637,0.356,0.6972,0.8097,-0.2412
2024-12-08,0.5918,0.6023,-0.0478,0.5314,0.5917,0.0231,0.762,0.6072,0.0582
2024-12-09,NaN,NaN,NaN,NaN,NaN,NaN,0.8123,0.4554,0.2844
2024-12-10,0.4438,0.6964,-0.2806,NaN,NaN,NaN,0.8515,0.3416,0.4556
2024-12-12,NaN,NaN,NaN,0.3985,0.6887,-0.2277,0.8879,0.2562,0.591
2024-12-14,0.5511,0.7691,-0.3668,0.2989,0.7662,-0.4204,NaN,NaN,NaN
2024-12-15,0.4133,0.8236,-0.5219,NaN,NaN,NaN,0.9155,0.1921,0.6929
2024-12-16,0.5219,0.6177,-0.1795,NaN,NaN,NaN,0.9323,0.3042,0.5676
2024-12-17,NaN,NaN,NaN,0.2242,0.8237,-0.5643,0.949,0.2282,0.6755
2024-12-19,0.6398,0.4633,0.1137,NaN,NaN,NaN,0.7117,0.4204,0.2574
2024-12-20,NaN,NaN,NaN,NaN,NaN,NaN,0.7825,0.5645,0.34
2024-12-23,0.718,0.3474,0.3235,NaN,NaN,NaN,NaN,NaN,NaN
2024-12-24,NaN,NaN,NaN,NaN,NaN,NaN,0.8367,0.6721,0.1163
2024-12-25,0.7883,0.2606,0.4924,NaN,NaN,NaN,0.8772,0.7521,0.1853
2024-12-26,0.8405,0.1954,0.6185,NaN,NaN,NaN,NaN,NaN,NaN
2024-12-27,NaN,NaN,NaN,NaN,NaN,NaN,0.9076,0.564,0.3886
2024-12-28,0.6304,0.3952,0.2153,NaN,NaN,NaN,NaN,NaN,NaN
2024-12-30,NaN,NaN,NaN,NaN,NaN,NaN,0.9271,0.423,0.5379
2024-12-31,NaN,NaN,NaN,NaN,NaN,NaN,0.942,0.561,0.6075
2025-01-01,0.7225,0.2964,0.4112,0.1681,0.8659,-0.6714,0.948,0.615,0.6034
2025-01-02,NaN,NaN,NaN,NaN,NaN,NaN,0.9583,0.4613,0.6998
2025-01-03,NaN,NaN,NaN,NaN,NaN,NaN,0.9685,0.588,0.326
2025-01-04,0.7859,0.2223,0.5525,NaN,NaN,NaN,0.9693,0.441,0.4874
2025-01-05,NaN,NaN,NaN,NaN,NaN,NaN,0.9699,0.3307,0.6084
2025-01-06,NaN,NaN,NaN,NaN,NaN,NaN,0.7274,0.4971,0.2073
2025-01-07,0.5895,0.3433,0.2378,NaN,NaN,NaN,0.7952,0.3728,0.4051
2025-01-09,0.6912,0.2574,0.4275,NaN,NaN,NaN,NaN,NaN,NaN
2025-01-10,NaN,NaN,NaN,NaN,NaN,NaN,0.8451,0.2796,0.5525
2025-01-11,NaN,NaN,NaN,NaN,NaN,NaN,0.8836,0.2097,0.6641
2025-01-12,0.7671,0.1931,0.5693,NaN,NaN,NaN,0.912,0.1573,0.7474
2025-01-13,0.5754,0.3876,0.1842,NaN,NaN,NaN,0.9272,0.3674,0.5143
2025-01-16,0.4315,0.5357,-0.1068,NaN,NaN,NaN,NaN,NaN,NaN
