date,pos_sentiment,neg_sentiment,net_sentiment,topic_count,pos_heat,neg_heat,total_heat,pos_sentiment_smooth,neg_sentiment_smooth,net_sentiment_smooth
2025-07-23,0.0,0.9245,-0.9245,1,0,145917,145917,0.4762,0.5438,-0.0482
2025-07-25,0.0,0.9945,-0.9945,1,0,183419,183419,0.3571,0.6564,-0.2848
2025-07-26,0.9458,0.0,0.9458,1,208680,0,208680,0.5043,0.4923,0.0229
2025-07-29,0.5118,0.0,0.5118,1,142765,0,142765,0.5062,0.3693,0.1451
2025-08-07,0.9986,0.0,0.9986,1,264266,0,264266,0.6293,0.2769,0.3585
2025-08-08,0.0,0.6472,-0.6472,1,0,77604,77604,0.472,0.3695,0.1071
2025-08-10,0.9998,0.0,0.9998,1,507515,0,507515,0.6039,0.2771,0.3302
2025-08-11,0.9998,0.0,0.9998,1,62530,0,62530,0.7029,0.2078,0.4976
2025-08-13,0.9952,0.0,0.9952,2,200220,0,200220,0.776,0.1559,0.622
2025-08-14,0.9947,0.9875,-0.2558,2,74819,127878,202697,0.8307,0.3638,0.4026
2025-08-16,0.9086,0.0,0.9086,1,106410,0,106410,0.8501,0.2728,0.5291
2025-08-18,0.9956,0.0,0.9956,1,152010,0,152010,0.8865,0.2046,0.6457
2025-09-12,0.0,0.9724,-0.9724,1,0,132110,132110,0.6649,0.3966,0.2412
2025-09-23,0.0,0.984,-0.984,2,0,376504,376504,0.4987,0.5434,-0.0651
2025-09-29,0.0,0.9707,-0.9707,1,0,94324,94324,0.374,0.6502,-0.2915
2025-10-02,0.87,0.0,0.87,1,194903,0,194903,0.498,0.4877,-0.0011
2025-10-03,0.87,0.0,0.87,1,202202,0,202202,0.591,0.3658,0.2166
2025-10-05,0.9987,0.0,0.9987,1,233129,0,233129,0.6929,0.2743,0.4122
2025-10-09,0.0,0.9981,-0.9981,1,0,1072723,1072723,0.5197,0.4553,0.0596
2025-10-10,0.0,0.9981,-0.9981,1,0,103427,103427,0.3898,0.591,-0.2048
2025-10-18,0.9865,0.0,0.9865,1,90430,0,90430,0.539,0.4432,0.093
2025-10-27,0.9992,0.0,0.9992,2,457209,0,457209,0.654,0.3324,0.3196
2025-11-04,0.9985,0.0,0.9985,1,323487,0,323487,0.7401,0.2493,0.4893
2025-11-11,0.9989,0.0,0.9989,1,96129,0,96129,0.8048,0.187,0.6167
2025-11-13,0.9849,0.0,0.9849,1,100092,0,100092,0.8498,0.1402,0.7087
2025-11-14,0.9927,0.7532,0.2581,2,117981,85697,203678,0.8856,0.2935,0.5961
2025-11-19,0.0,0.9939,-0.9939,1,0,1082404,1082404,0.6642,0.4686,0.1986
2025-11-22,0.9905,0.0,0.9905,1,259706,0,259706,0.7458,0.3514,0.3966
2025-11-23,0.9266,0.0,0.9266,1,905853,0,905853,0.791,0.2636,0.5291
2025-11-26,0.7379,0.0,0.7379,1,371852,0,371852,0.7777,0.1977,0.5813
2025-11-29,0.9056,0.0,0.9056,1,533196,0,533196,0.8097,0.1483,0.6624
2025-12-02,0.8476,0.0,0.8476,1,183627,0,183627,0.8192,0.1112,0.7087
2025-12-03,0.0,0.8675,-0.8675,1,0,916994,916994,0.6144,0.3003,0.3146
2025-12-07,0.8476,0.0,0.8476,1,1093961,0,1093961,0.6727,0.2252,0.4479
2025-12-08,0.8476,0.0,0.8476,1,179541,0,179541,0.7164,0.1689,0.5478
2025-12-11,0.8476,0.0,0.8476,1,107005,0,107005,0.7492,0.1267,0.6228
2025-12-12,0.8909,0.0,0.8909,2,398351,0,398351,0.7846,0.095,0.6898
2025-12-20,0.9894,0.0,0.9894,2,274109,0,274109,0.8358,0.0713,0.7647
2025-12-21,0.9909,0.0,0.9909,1,139053,0,139053,0.8746,0.0534,0.8212
2025-12-22,0.0,0.9984,-0.9984,1,0,178144,178144,0.6559,0.2897,0.3663
2025-12-23,0.0,0.6024,-0.6024,1,0,106589,106589,0.492,0.3679,0.1241
2025-12-27,0.9934,0.0,0.9934,3,360783,0,360783,0.6173,0.2759,0.3415
2026-01-02,0.9988,0.0,0.9988,1,758556,0,758556,0.7127,0.2069,0.5058
2026-01-03,0.9988,0.0,0.9988,1,367569,0,367569,0.7842,0.1552,0.629
2026-01-04,0.9833,0.9928,0.8776,2,3950045,223276,4173321,0.834,0.3646,0.6912
2026-01-05,0.9833,0.0,0.9833,1,1095556,0,1095556,0.8713,0.2734,0.7642
2026-01-09,0.9565,0.0,0.9565,2,255365,0,255365,0.8926,0.2051,0.8123
2026-01-10,0.9621,0.0,0.9621,1,114480,0,114480,0.91,0.1538,0.8497
2026-01-12,0.9756,0.0,0.9756,1,109922,0,109922,0.9264,0.1154,0.8812
2026-01-13,0.0,0.9976,-0.9976,1,0,175371,175371,0.6948,0.3359,0.4115
2026-01-20,0.9881,0.0,0.9881,1,324428,0,324428,0.7681,0.2519,0.5557
2026-01-23,0.5011,0.9943,-0.3521,4,281327,373780,655107,0.7014,0.4375,0.3287
2026-01-24,0.0,0.9981,-0.9981,1,0,127701,127701,0.526,0.5777,-0.003
2026-01-26,0.9978,0.0,0.9978,1,101106,0,101106,0.644,0.4333,0.2472
2026-01-27,0.9178,0.6569,-0.3181,2,84585,308574,393159,0.7124,0.4892,0.1059
2026-01-28,0.0,0.6569,-0.6569,1,0,90252,90252,0.5343,0.5311,-0.0848
2026-02-01,0.999,0.0,0.999,1,87641,0,87641,0.6505,0.3983,0.1861
2026-02-02,0.9443,0.5538,0.2644,2,121246,100757,222003,0.7239,0.4372,0.2057
2026-02-24,0.0,0.5661,-0.5661,1,0,93857,93857,0.543,0.4694,0.0128
2026-02-25,0.8886,0.9718,-0.4989,2,62871,184488,247359,0.6294,0.595,-0.1152
2026-02-27,0.9742,0.0,0.9742,1,1122148,0,1122148,0.7156,0.4463,0.1572
2026-03-06,0.9962,0.5157,0.0912,3,303248,452146,755394,0.7857,0.4636,0.1407
2026-03-07,0.9977,0.0,0.9977,1,102965,0,102965,0.8387,0.3477,0.3549
2026-03-09,0.8222,0.9912,0.4014,3,1118069,337834,1455903,0.8346,0.5086,0.3666
2026-03-10,0.9961,0.996,-0.001,2,828220,830018,1658238,0.875,0.6304,0.2747
2026-03-11,0.9967,0.0,0.9967,1,308538,0,308538,0.9054,0.4728,0.4552
2026-03-12,0.9573,0.9285,0.399,4,1233505,518687,1752192,0.9184,0.5867,0.4411
2026-03-18,0.9956,0.9988,0.826,3,840194,78125,918319,0.9377,0.6898,0.5373
2026-03-19,0.0,0.9959,-0.9959,2,0,155898,155898,0.7033,0.7663,0.154
2026-03-20,0.9951,0.0,0.9951,1,214251,0,214251,0.7762,0.5747,0.3643
2026-03-21,0.9939,0.0,0.9939,1,212901,0,212901,0.8306,0.431,0.5217
2026-03-22,0.0,0.9981,-0.9981,1,0,211155,211155,0.623,0.5728,0.1418
2026-03-28,0.992,0.0,0.992,1,294045,0,294045,0.7152,0.4296,0.3543
2026-04-07,0.9918,0.0,0.9918,1,107266,0,107266,0.7844,0.3222,0.5137
2026-04-10,0.9696,0.0,0.9696,2,145166,0,145166,0.8307,0.2417,0.6277
2026-04-15,0.9974,0.0,0.9974,1,63560,0,63560,0.8724,0.1812,0.7201
2026-04-28,0.0,0.8203,-0.8203,1,0,436644,436644,0.6543,0.341,0.335
2026-04-29,0.0,0.8203,-0.8203,1,0,827396,827396,0.4907,0.4608,0.0462
2026-05-12,0.9756,0.806,-0.5361,3,183162,1025594,1208756,0.6119,0.5471,-0.0994
2026-05-14,0.9948,0.0,0.9948,2,885835,0,885835,0.7076,0.4103,0.1742
2026-05-21,0.9975,0.0,0.9975,1,245656,0,245656,0.7801,0.3078,0.38
2026-05-27,0.9908,0.0,0.9908,1,226471,0,226471,0.8328,0.2308,0.5327
2026-06-01,0.9982,0.0,0.9982,1,317087,0,317087,0.8741,0.1731,0.6491
2026-06-03,0.9928,0.0,0.9928,1,141977,0,141977,0.9038,0.1298,0.735
2026-06-09,0.8689,0.0,0.8689,1,1049433,0,1049433,0.8951,0.0974,0.7685
2026-06-23,0.714,0.0,0.714,1,303279,0,303279,0.8498,0.073,0.7549
2026-06-25,0.0,0.9754,-0.9754,1,0,1104900,1104900,0.6374,0.2986,0.3223
2026-06-26,0.0,0.9754,-0.9754,1,0,116929,116929,0.478,0.4678,-0.0021
2026-06-29,0.9632,0.0,0.9632,2,636021,0,636021,0.5993,0.3509,0.2392
2026-07-01,0.9968,0.0,0.9968,1,233483,0,233483,0.6987,0.2631,0.4286
2026-07-24,0.0,0.9953,-0.9953,1,0,2002468,2002468,0.524,0.4462,0.0726
2026-07-27,0.9947,0.0,0.9947,1,336280,0,336280,0.6417,0.3346,0.3031
2026-07-31,0.0,0.9961,-0.9961,1,0,192334,192334,0.4813,0.5,-0.0217
2026-08-06,0.9695,0.0,0.9695,1,494721,0,494721,0.6033,0.375,0.2261
2026-08-12,0.9824,0.0,0.9824,1,434519,0,434519,0.6981,0.2813,0.4152
2026-08-18,0.9838,0.0,0.9838,1,483116,0,483116,0.7695,0.2109,0.5573
